;RW_ES; RJW_ES; RN_ES
RS_Cn_FSM; 2; 2; 2
RW_C_FSM; 2; 1.5; 1
RN_C_FSM; 1; 0.5; 0
RS_Rn_FSM; 2; 2; 2
RJS_Rn_FSM; 2; 2; 1.5
RW_R_FSM; 2; 1.5; 1
RJW_R_FSM; 2; 1.4; 1
RJN_R_FSM; 1; 0.7; 0
RN_R_FSM; 1; 0.5; 0
RS_Cn_FIS; 2; 2; 2
RW_C_FIS; 2; 1.5; 1
RC_C_FIS; 1.7; 1.2; 0.7
RJC_C_FIS; 1.4; 0.7; 0.4
RN_C_FIS; 1; 0.5; 0
RS_Rn_FIS; 2; 2; 2
RJS_Rn_FIS; 2; 2; 1.5
RW_R_FIS; 2; 1.5; 1
RJW_R_FIS; 2; 1.5; 1
RJN_R_FIS; 1; 0.5; 0
RC_R_FIS; 1.7; 1.2; 0.7
RJC_R_FIS; 1.4; 0.9; 0.4
RN_R_FIS; 1; 0.5; 0






