S/F;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f15;f16
s1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0
s2;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0
s3;-1;-1;-1,+1;-1,+1;0;0;0;0;0;0;-1,+1;0;-1,+1;0;0
s6;0;0;0;0;0;-1;+1;0;0;-1;0;0;0;-1,+1;-1,+1
s7; 0; 0; 0; 0; -1; +1; +1; -1; -1; -1; 0; 0; -1,+1; -1,+1; -1,+1
